"","AirportName","City","Country","Week","Percent.wk","Month","Percent.mo"
"299","Santiago International Airport","Santiago","Chile",26,26,6,26.8461538461538
"300","Santiago International Airport","Santiago","Chile",38,33.6666666666667,9,37.2068965517241
"301","Santiago International Airport","Santiago","Chile",39,37.2857142857143,9,37.2068965517241
"302","Santiago International Airport","Santiago","Chile",48,49,11,52.5384615384615
"303","Santiago International Airport","Santiago","Chile",11,84,3,38.4
"304","Santiago International Airport","Santiago","Chile",22,22.6666666666667,5,21.4444444444444
"305","Santiago International Airport","Santiago","Chile",22,22.6666666666667,5,21.4444444444444
"306","Santiago International Airport","Santiago","Chile",32,29.6666666666667,8,33.2692307692308
"307","Santiago International Airport","Santiago","Chile",38,33.6666666666667,9,37.2068965517241
"308","Santiago International Airport","Santiago","Chile",20,23,5,21.4444444444444
"309","Santiago International Airport","Santiago","Chile",21,19.8571428571429,5,21.4444444444444
"310","Santiago International Airport","Santiago","Chile",29,29.5714285714286,7,31.1071428571429
"311","Santiago International Airport","Santiago","Chile",35,37.1666666666667,8,33.2692307692308
"312","Santiago International Airport","Santiago","Chile",47,49.2857142857143,11,52.5384615384615
"313","Santiago International Airport","Santiago","Chile",18,22.75,5,21.4444444444444
"314","Santiago International Airport","Santiago","Chile",22,22.6666666666667,6,26.8461538461538
"315","Santiago International Airport","Santiago","Chile",24,27.6,6,26.8461538461538
"316","Santiago International Airport","Santiago","Chile",33,31.6,8,33.2692307692308
"317","Santiago International Airport","Santiago","Chile",37,40.1428571428571,9,37.2068965517241
"318","Santiago International Airport","Santiago","Chile",41,43.4285714285714,10,47.8064516129032
"319","Santiago International Airport","Santiago","Chile",44,54,10,47.8064516129032
"320","Santiago International Airport","Santiago","Chile",44,54,10,47.8064516129032
"321","Santiago International Airport","Santiago","Chile",14,23,4,19.5714285714286
"322","Santiago International Airport","Santiago","Chile",31,34,8,33.2692307692308
"323","Santiago International Airport","Santiago","Chile",42,47.1428571428571,10,47.8064516129032
"324","Santiago International Airport","Santiago","Chile",19,22.7142857142857,5,21.4444444444444
"325","Santiago International Airport","Santiago","Chile",32,29.6666666666667,8,33.2692307692308
"326","Santiago International Airport","Santiago","Chile",39,37.2857142857143,9,37.2068965517241
"327","Santiago International Airport","Santiago","Chile",40,45,10,47.8064516129032
"328","Santiago International Airport","Santiago","Chile",48,49,11,52.5384615384615
"329","Santiago International Airport","Santiago","Chile",14,23,4,19.5714285714286
"330","Santiago International Airport","Santiago","Chile",15,17.4285714285714,4,19.5714285714286
"331","Santiago International Airport","Santiago","Chile",27,28.6666666666667,7,31.1071428571429
"332","Santiago International Airport","Santiago","Chile",34,36.1428571428571,8,33.2692307692308
"333","Santiago International Airport","Santiago","Chile",35,37.1666666666667,8,33.2692307692308
"334","Santiago International Airport","Santiago","Chile",41,43.4285714285714,10,47.8064516129032
"335","Santiago International Airport","Santiago","Chile",44,54,10,47.8064516129032
"336","Santiago International Airport","Santiago","Chile",25,26.7142857142857,6,26.8461538461538
"337","Santiago International Airport","Santiago","Chile",47,49.2857142857143,11,52.5384615384615
"338","Santiago International Airport","Santiago","Chile",48,49,11,52.5384615384615
"339","Santiago International Airport","Santiago","Chile",49,48,12,46.5
"340","Santiago International Airport","Santiago","Chile",12,39,3,38.4
"341","Santiago International Airport","Santiago","Chile",28,32.6666666666667,7,31.1071428571429
"342","Santiago International Airport","Santiago","Chile",29,29.5714285714286,7,31.1071428571429
"343","Santiago International Airport","Santiago","Chile",36,34.1428571428571,9,37.2068965517241
"344","Santiago International Airport","Santiago","Chile",47,49.2857142857143,11,52.5384615384615
"345","Santiago International Airport","Santiago","Chile",22,22.6666666666667,5,21.4444444444444
"346","Santiago International Airport","Santiago","Chile",32,29.6666666666667,8,33.2692307692308
"347","Santiago International Airport","Santiago","Chile",34,36.1428571428571,8,33.2692307692308
"348","Santiago International Airport","Santiago","Chile",39,37.2857142857143,9,37.2068965517241
"349","Santiago International Airport","Santiago","Chile",41,43.4285714285714,10,47.8064516129032
"350","Santiago International Airport","Santiago","Chile",41,43.4285714285714,10,47.8064516129032
"351","Santiago International Airport","Santiago","Chile",44,54,11,52.5384615384615
"352","Santiago International Airport","Santiago","Chile",45,49.8333333333333,11,52.5384615384615
"353","Santiago International Airport","Santiago","Chile",14,23,4,19.5714285714286
"354","Santiago International Airport","Santiago","Chile",42,47.1428571428571,10,47.8064516129032
